,weight_2022,pitax_2022,total_gross_income_2022,weight_ref_2022,pitax_ref_2022,total_gross_income_ref_2022,weight_ref_2023,pitax_ref_2023,total_gross_income_ref_2023,weight_ref_2024,pitax_ref_2024,total_gross_income_ref_2024,weight_ref_2025,pitax_ref_2025,total_gross_income_ref_2025,weight_ref_2026,pitax_ref_2026,total_gross_income_ref_2026,weight_ref_2027,pitax_ref_2027,total_gross_income_ref_2027,ETR,ETR_ref
30,"9,478.9701","1,469.0000","7,296.0000","9,478.9701","1,469.0000","7,296.0000","9,478.9701","1,525.0000","7,935.0000","9,478.9701","1,646.0000","8,571.0000","9,478.9701","1,790.0000","9,315.0000","9,478.9701","1,941.0000","10,104.0000","9,478.9701","2,105.0000","10,954.0000",0.2013,0.2013
31,"9,467.5634","1,561.0000","7,644.0000","9,467.5634","1,561.0000","7,644.0000","9,467.5634","1,617.0000","8,314.0000","9,467.5634","1,746.0000","8,980.0000","9,467.5634","1,896.0000","9,760.0000","9,467.5634","2,056.0000","10,586.0000","9,467.5634","2,230.0000","11,477.0000",0.2042,0.2042
32,"9,478.9701","1,633.0000","8,022.0000","9,478.9701","1,633.0000","8,022.0000","9,478.9701","1,692.0000","8,724.0000","9,478.9701","1,825.0000","9,424.0000","9,478.9701","1,981.0000","10,241.0000","9,478.9701","2,149.0000","11,109.0000","9,478.9701","2,330.0000","12,044.0000",0.2036,0.2036
33,"9,478.9701","1,708.0000","8,400.0000","9,478.9701","1,708.0000","8,400.0000","9,478.9701","1,769.0000","9,136.0000","9,478.9701","1,909.0000","9,868.0000","9,478.9701","2,074.0000","10,725.0000","9,478.9701","2,250.0000","11,633.0000","9,478.9701","2,439.0000","12,612.0000",0.2033,0.2033
34,"9,467.5634","1,802.0000","8,740.0000","9,467.5634","1,802.0000","8,740.0000","9,467.5634","1,865.0000","9,506.0000","9,467.5634","2,009.0000","10,267.0000","9,467.5634","2,184.0000","11,159.0000","9,467.5634","2,369.0000","12,103.0000","9,467.5634","2,568.0000","13,122.0000",0.2062,0.2062
35,"9,478.9701","1,855.0000","9,096.0000","9,478.9701","1,855.0000","9,096.0000","9,478.9701","1,921.0000","9,892.0000","9,478.9701","2,075.0000","10,685.0000","9,478.9701","2,253.0000","11,613.0000","9,478.9701","2,443.0000","12,596.0000","9,478.9701","2,649.0000","13,656.0000",0.2039,0.2039
36,"9,478.9701","1,928.0000","9,427.0000","9,478.9701","1,928.0000","9,427.0000","9,478.9701","1,994.0000","10,253.0000","9,478.9701","2,153.0000","11,075.0000","9,478.9701","2,343.0000","12,036.0000","9,478.9701","2,541.0000","13,055.0000","9,478.9701","2,757.0000","14,154.0000",0.2045,0.2045
37,"9,467.5634","1,973.0000","9,747.0000","9,467.5634","1,973.0000","9,747.0000","9,467.5634","2,046.0000","10,600.0000","9,467.5634","2,210.0000","11,450.0000","9,467.5634","2,395.0000","12,444.0000","9,467.5634","2,600.0000","13,498.0000","9,467.5634","2,822.0000","14,634.0000",0.2024,0.2024
38,"9,478.9701","2,079.0000","10,079.0000","9,478.9701","2,079.0000","10,079.0000","9,478.9701","2,149.0000","10,962.0000","9,478.9701","2,322.0000","11,840.0000","9,478.9701","2,520.0000","12,868.0000","9,478.9701","2,734.0000","13,958.0000","9,478.9701","2,964.0000","15,132.0000",0.2063,0.2063
39,"9,478.9701","2,126.0000","10,286.0000","9,478.9701","2,126.0000","10,286.0000","9,478.9701","2,203.0000","11,187.0000","9,478.9701","2,379.0000","12,083.0000","9,478.9701","2,586.0000","13,132.0000","9,478.9701","2,805.0000","14,244.0000","9,478.9701","3,041.0000","15,443.0000",0.2067,0.2067
40,"9,467.5634","2,147.0000","10,471.0000","9,467.5634","2,147.0000","10,471.0000","9,467.5634","2,214.0000","11,388.0000","9,467.5634","2,392.0000","12,301.0000","9,467.5634","2,596.0000","13,368.0000","9,467.5634","2,816.0000","14,500.0000","9,467.5634","3,053.0000","15,721.0000",0.2050,0.2050
41,"9,478.9701","2,201.0000","10,630.0000","9,478.9701","2,201.0000","10,630.0000","9,478.9701","2,277.0000","11,561.0000","9,478.9701","2,458.0000","12,488.0000","9,478.9701","2,670.0000","13,571.0000","9,478.9701","2,897.0000","14,721.0000","9,478.9701","3,140.0000","15,960.0000",0.2071,0.2071
42,"9,478.9701","2,220.0000","10,763.0000","9,478.9701","2,220.0000","10,763.0000","9,478.9701","2,300.0000","11,706.0000","9,478.9701","2,485.0000","12,644.0000","9,478.9701","2,695.0000","13,741.0000","9,478.9701","2,923.0000","14,905.0000","9,478.9701","3,169.0000","16,159.0000",0.2063,0.2063
43,"9,467.5634","2,253.0000","10,898.0000","9,467.5634","2,253.0000","10,898.0000","9,467.5634","2,331.0000","11,853.0000","9,467.5634","2,517.0000","12,803.0000","9,467.5634","2,734.0000","13,914.0000","9,467.5634","2,969.0000","15,092.0000","9,467.5634","3,219.0000","16,362.0000",0.2067,0.2067
44,"9,478.9701","2,306.0000","11,173.0000","9,478.9701","2,306.0000","11,173.0000","9,478.9701","2,385.0000","12,151.0000","9,478.9701","2,577.0000","13,125.0000","9,478.9701","2,800.0000","14,264.0000","9,478.9701","3,037.0000","15,472.0000","9,478.9701","3,293.0000","16,774.0000",0.2064,0.2064
45,"9,467.5634","2,266.0000","11,352.0000","9,467.5634","2,266.0000","11,352.0000","9,467.5634","2,350.0000","12,346.0000","9,467.5634","2,533.0000","13,335.0000","9,467.5634","2,746.0000","14,493.0000","9,467.5634","2,978.0000","15,720.0000","9,467.5634","3,233.0000","17,043.0000",0.1996,0.1996
46,"9,478.9701","2,376.0000","11,526.0000","9,478.9701","2,376.0000","11,526.0000","9,478.9701","2,461.0000","12,535.0000","9,478.9701","2,654.0000","13,540.0000","9,478.9701","2,878.0000","14,715.0000","9,478.9701","3,121.0000","15,961.0000","9,478.9701","3,384.0000","17,304.0000",0.2061,0.2061
47,"9,478.9701","2,448.0000","11,840.0000","9,478.9701","2,448.0000","11,840.0000","9,478.9701","2,532.0000","12,877.0000","9,478.9701","2,735.0000","13,909.0000","9,478.9701","2,973.0000","15,116.0000","9,478.9701","3,228.0000","16,396.0000","9,478.9701","3,500.0000","17,776.0000",0.2068,0.2068
48,"9,467.5634","2,508.0000","12,130.0000","9,467.5634","2,508.0000","12,130.0000","9,467.5634","2,589.0000","13,192.0000","9,467.5634","2,786.0000","14,249.0000","9,467.5634","3,028.0000","15,486.0000","9,467.5634","3,284.0000","16,797.0000","9,467.5634","3,560.0000","18,211.0000",0.2068,0.2068
49,"9,478.9701","2,570.0000","12,455.0000","9,478.9701","2,570.0000","12,455.0000","9,478.9701","2,662.0000","13,546.0000","9,478.9701","2,878.0000","14,631.0000","9,478.9701","3,130.0000","15,901.0000","9,478.9701","3,395.0000","17,248.0000","9,478.9701","3,683.0000","18,699.0000",0.2063,0.2063
50,"9,478.9701","2,604.0000","12,744.0000","9,478.9701","2,604.0000","12,744.0000","9,478.9701","2,699.0000","13,860.0000","9,478.9701","2,915.0000","14,971.0000","9,478.9701","3,167.0000","16,270.0000","9,478.9701","3,435.0000","17,648.0000","9,478.9701","3,725.0000","19,133.0000",0.2043,0.2043
51,"9,467.5634","2,687.0000","13,072.0000","9,467.5634","2,687.0000","13,072.0000","9,467.5634","2,783.0000","14,217.0000","9,467.5634","3,002.0000","15,357.0000","9,467.5634","3,263.0000","16,690.0000","9,467.5634","3,543.0000","18,103.0000","9,467.5634","3,841.0000","19,627.0000",0.2056,0.2056
52,"9,478.9701","2,760.0000","13,454.0000","9,478.9701","2,760.0000","13,454.0000","9,478.9701","2,858.0000","14,632.0000","9,478.9701","3,087.0000","15,805.0000","9,478.9701","3,355.0000","17,177.0000","9,478.9701","3,639.0000","18,631.0000","9,478.9701","3,945.0000","20,200.0000",0.2051,0.2051
53,"9,478.9701","2,816.0000","13,756.0000","9,478.9701","2,816.0000","13,756.0000","9,478.9701","2,915.0000","14,960.0000","9,478.9701","3,141.0000","16,159.0000","9,478.9701","3,414.0000","17,562.0000","9,478.9701","3,703.0000","19,049.0000","9,478.9701","4,015.0000","20,652.0000",0.2047,0.2047
54,"9,467.5634","2,907.0000","14,096.0000","9,467.5634","2,907.0000","14,096.0000","9,467.5634","3,005.0000","15,331.0000","9,467.5634","3,242.0000","16,559.0000","9,467.5634","3,524.0000","17,997.0000","9,467.5634","3,822.0000","19,520.0000","9,467.5634","4,144.0000","21,164.0000",0.2062,0.2062
55,"9,478.9701","2,983.0000","14,513.0000","9,478.9701","2,983.0000","14,513.0000","9,478.9701","3,086.0000","15,784.0000","9,478.9701","3,330.0000","17,049.0000","9,478.9701","3,614.0000","18,529.0000","9,478.9701","3,924.0000","20,098.0000","9,478.9701","4,255.0000","21,790.0000",0.2055,0.2055
56,"9,478.9701","3,054.0000","14,873.0000","9,478.9701","3,054.0000","14,873.0000","9,478.9701","3,159.0000","16,176.0000","9,478.9701","3,408.0000","17,472.0000","9,478.9701","3,697.0000","18,989.0000","9,478.9701","4,011.0000","20,597.0000","9,478.9701","4,348.0000","22,330.0000",0.2053,0.2053
57,"9,467.5634","3,130.0000","15,249.0000","9,467.5634","3,130.0000","15,249.0000","9,467.5634","3,238.0000","16,585.0000","9,467.5634","3,483.0000","17,914.0000","9,467.5634","3,772.0000","19,469.0000","9,467.5634","4,091.0000","21,117.0000","9,467.5634","4,436.0000","22,895.0000",0.2053,0.2053
58,"9,478.9701","3,170.0000","15,673.0000","9,478.9701","3,170.0000","15,673.0000","9,478.9701","3,277.0000","17,046.0000","9,478.9701","3,540.0000","18,412.0000","9,478.9701","3,847.0000","20,010.0000","9,478.9701","4,172.0000","21,704.0000","9,478.9701","4,523.0000","23,531.0000",0.2023,0.2023
59,"9,478.9701","3,299.0000","16,051.0000","9,478.9701","3,299.0000","16,051.0000","9,478.9701","3,412.0000","17,457.0000","9,478.9701","3,686.0000","18,856.0000","9,478.9701","4,001.0000","20,492.0000","9,478.9701","4,340.0000","22,227.0000","9,478.9701","4,705.0000","24,098.0000",0.2055,0.2055
60,"9,467.5634","3,375.0000","16,462.0000","9,467.5634","3,375.0000","16,462.0000","9,467.5634","3,501.0000","17,904.0000","9,467.5634","3,780.0000","19,339.0000","9,467.5634","4,101.0000","21,018.0000","9,467.5634","4,448.0000","22,797.0000","9,467.5634","4,822.0000","24,716.0000",0.2050,0.2050
61,"9,478.9701","3,413.0000","16,936.0000","9,478.9701","3,413.0000","16,936.0000","9,478.9701","3,542.0000","18,420.0000","9,478.9701","3,821.0000","19,896.0000","9,478.9701","4,149.0000","21,623.0000","9,478.9701","4,500.0000","23,454.0000","9,478.9701","4,879.0000","25,428.0000",0.2015,0.2015
62,"9,478.9701","3,548.0000","17,307.0000","9,478.9701","3,548.0000","17,307.0000","9,478.9701","3,674.0000","18,822.0000","9,478.9701","3,966.0000","20,331.0000","9,478.9701","4,305.0000","22,096.0000","9,478.9701","4,671.0000","23,967.0000","9,478.9701","5,067.0000","25,984.0000",0.2050,0.2050
63,"9,467.5634","3,626.0000","17,789.0000","9,467.5634","3,626.0000","17,789.0000","9,467.5634","3,757.0000","19,347.0000","9,467.5634","4,058.0000","20,897.0000","9,467.5634","4,410.0000","22,711.0000","9,467.5634","4,789.0000","24,634.0000","9,467.5634","5,193.0000","26,708.0000",0.2038,0.2038
64,"9,478.9701","3,729.0000","18,350.0000","9,478.9701","3,729.0000","18,350.0000","9,478.9701","3,863.0000","19,957.0000","9,478.9701","4,172.0000","21,556.0000","9,478.9701","4,540.0000","23,428.0000","9,478.9701","4,924.0000","25,411.0000","9,478.9701","5,352.0000","27,550.0000",0.2032,0.2032
65,"9,478.9701","3,835.0000","18,895.0000","9,478.9701","3,835.0000","18,895.0000","9,478.9701","3,976.0000","20,550.0000","9,478.9701","4,295.0000","22,197.0000","9,478.9701","4,668.0000","24,124.0000","9,478.9701","5,065.0000","26,166.0000","9,478.9701","5,491.0000","28,369.0000",0.2030,0.2030
66,"9,467.5634","3,979.0000","19,441.0000","9,467.5634","3,979.0000","19,441.0000","9,467.5634","4,120.0000","21,144.0000","9,467.5634","4,445.0000","22,838.0000","9,467.5634","4,828.0000","24,821.0000","9,467.5634","5,240.0000","26,922.0000","9,467.5634","5,687.0000","29,188.0000",0.2047,0.2047
67,"9,478.9701","4,072.0000","20,053.0000","9,478.9701","4,072.0000","20,053.0000","9,478.9701","4,216.0000","21,809.0000","9,478.9701","4,557.0000","23,557.0000","9,478.9701","4,957.0000","25,602.0000","9,478.9701","5,377.0000","27,769.0000","9,478.9701","5,830.0000","30,107.0000",0.2031,0.2031
68,"9,473.2668","4,168.0000","20,649.0000","9,473.2668","4,168.0000","20,649.0000","9,473.2668","4,303.0000","22,458.0000","9,473.2668","4,639.0000","24,257.0000","9,473.2668","5,029.0000","26,363.0000","9,473.2668","5,455.0000","28,595.0000","9,473.2668","5,914.0000","31,002.0000",0.2018,0.2018
69,"9,478.9701","4,320.0000","21,291.0000","9,478.9701","4,320.0000","21,291.0000","9,478.9701","4,453.0000","23,156.0000","9,478.9701","4,798.0000","25,011.0000","9,478.9701","5,209.0000","27,182.0000","9,478.9701","5,650.0000","29,484.0000","9,478.9701","6,126.0000","31,966.0000",0.2029,0.2029
